stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"70052","70052",San Bruno Caltrain Station,37.6304605129,-122.4117090507,"69670","","","0","san_bruno","","1",""
"san_carlos","san_carlos",San Carlos,37.508033,-122.2602,"69669","","","1","","America/Los_Angeles","0",""
"70132","70132",San Carlos Caltrain Station,37.507933,-122.260266,"69671","","","0","san_carlos","","1",""
"70131","70131",San Carlos Caltrain Station,37.50805,-122.26015,"69671","","","0","san_carlos","","1",""
"san_francisco","san_francisco",San Francisco Caltrain Station,37.776404,-122.394911,"69669","","","1","","America/Los_Angeles","0",""
"70012","70012",San Francisco Caltrain Station,37.776348,-122.394935,"69670","","","0","san_francisco","","1",""
"70011","70011",San Francisco Caltrain Station,37.77639,-122.394992,"69670","","","0","san_francisco","","1",""
"sj_diridon","sj_diridon",San Jose Diridon,37.329694,-121.903208,"69669","","","1","","America/Los_Angeles","0",""
"70262","70262",San Jose Diridon Caltrain Station,37.329231,-121.903173,"69672","","","0","sj_diridon","","1",""
"70261","70261",San Jose Diridon Caltrain Station,37.329239,-121.903011,"69672","","","0","sj_diridon","","1",""
"777402","777402",San Jose Shuttle,37.330196,-121.901985,"69669","","","0","","America/Los_Angeles","1",""
"san_martin","san_martin",San Martin,37.085984,-121.61048,"69669","","","1","","America/Los_Angeles","0",""
"70311","70311",San Martin Caltrain Station,37.085225,-121.610049,"69674","","","0","san_martin","","1",""
"70312","70312",San Martin Caltrain Station,37.086653,-121.610936,"69674","","","0","san_martin","","1",""
"san_mateo","san_mateo",San Mateo,37.56824,-122.3239,"69669","","","1","","America/Los_Angeles","0",""
"70091","70091",San Mateo Caltrain Station,37.568087,-122.323851,"69671","","","0","san_mateo","","1",""
"70092","70092",San Mateo Caltrain Station,37.568294,-122.324092,"69671","","","0","san_mateo","","1",""
"70241","70241",Santa Clara Caltrain Station,37.353238,-121.93608,"69672","","","0","santa_clara","","1",""
"70242","70242",Santa Clara Caltrain Station,37.353189,-121.936135,"69672","","","0","santa_clara","","1",""
"santa_clara","santa_clara",Santa Clara Caltrain Station,37.353384,-121.936465,"69669","","","1","","America/Los_Angeles","0",""
"70042","70042",South San Francisco Caltrain Station,37.6559419334,-122.4049797097,"69670","","","0","south_sf","","2",""
"70041","70041",South San Francisco Caltrain Station,37.6559413948,-122.4049790512,"69670","","","0","south_sf","","2",""
"south_sf","south_sf",South San Francisco Caltrain Station,37.6559414157,-122.4049790057,"69669","","","1","","America/Los_Angeles","0",""
"stanford","stanford",Stanford,37.43895,-122.15715,"69669","","","1","","America/Los_Angeles","0",""
"2537740","2537740",Stanford Caltrain Station,37.4384910094,-122.1564052441,"69669","","","0","stanford","","0",""
"2537744","2537744",Stanford Caltrain Station,37.4384247464,-122.1564816468,"69669","","","0","stanford","","0",""
"sunnyvale","sunnyvale",Sunnyvale,37.378934,-122.0315,"69669","","","1","","America/Los_Angeles","0",""
"70222","70222",Sunnyvale Caltrain Station,37.378789,-122.031423,"69669","","","0","sunnyvale","","1",""
"70221","70221",Sunnyvale Caltrain Station,37.378916,-122.031372,"69669","","","0","sunnyvale","","1",""
"70272","70272",Tamien Caltrain Station,37.31175,-121.883999,"69672","","","0","tamien","","1",""
"70271","70271",Tamien Caltrain Station,37.31174,-121.883721,"69672","","","0","tamien","","1",""
"tamien","tamien",Tamien Caltrain Station,37.31269,-121.8847,"69669","","","1","","America/Los_Angeles","0",""
"777403","777403",Tamien Caltrain Station Shuttle,37.311638,-121.883403,"69669","","","0","","America/Los_Angeles","1",""
"BM","BM",Temporary Stop - Belmont,37.521994,-122.277518,"69671","","","0","","America/Los_Angeles","0",""
"CAN","CAN",Temporary Stop - California Ave,37.4300665587,-122.1415583321,"69669","","","0","","America/Los_Angeles","0",""
"CAS","CAS",Temporary Stop - California Ave,37.4301611397,-122.1417800331,"69669","","","0","","America/Los_Angeles","0",""
"MPN","MPN",Temporary Stop - Menlo Park,37.4536249493,-122.1828129718,"69669","","","0","","America/Los_Angeles","0",""
"MPS","MPS",Temporary Stop - Menlo Park,37.4535269778,-122.1831705108,"69669","","","0","","America/Los_Angeles","0",""
"MVN","MVN",Temporary Stop - Mountain View,37.3941427774,-122.0766686434,"69669","","","0","","America/Los_Angeles","0",""
"MVS","MVS",Temporary Stop - Mountain View,37.395373988,-122.0776160155,"69669","","","0","","America/Los_Angeles","0",""
"PAS","PAS",Temporary Stop - Palo Alto,37.4442712661,-122.1654487344,"69669","","","0","","America/Los_Angeles","0",""
"PAN","PAN",Temporary Stop - Palo Alto,37.445174166,-122.1665743945,"69669","","","0","","America/Los_Angeles","0",""
"RC","RC",Temporary Stop - Redwood City,37.4858755504,-122.2320244337,"69671","","","0","","America/Los_Angeles","0",""
"SAS","SAS",Temporary Stop - San Antonio,37.4069163685,-122.1071100279,"69669","","","0","","America/Los_Angeles","0",""
"SAN","SAN",Temporary Stop - San Antonio,37.4069472394,-122.1068397688,"69669","","","0","","America/Los_Angeles","0",""
"SCS","SCS",Temporary Stop - San Carlos,37.5070864356,-122.2602873955,"69671","","","0","","America/Los_Angeles","0",""
"SCN","SCN",Temporary Stop - San Carlos,37.5072517779,-122.2600835104,"69671","","","0","","America/Los_Angeles","0",""
